Document_ID,Publication_date,Title,Text_Content,Company_Name,Company_Code
70857,2025-01-17,Other price sensitive information,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70854.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/lotarija-na-makedonija-ad-skopje,Лотарија на Македонија АД Скопје,LOTO
70856,2025-01-17,Other price sensitive information,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70853.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/hoteli-metropol-ohrid,Хотели-Метропол АД Охрид,MPOL
70855,2025-01-17,Other price sensitive information,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70852.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/fersped-ad-skopje,Фершпед АД Скопје,FER
70851,2025-01-17,Other price sensitive information,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70848.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/makosped-ad-skopje,Макошпед АД Скопје,MSK
70437,2024-11-07,Other price sensitive information,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70434.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/makstil-ad-skopje,Макстил АД Скопје,MSL
70850,2025-01-17,Other price sensitive information,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70849.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/stopanska-banka-ad-skopje,Стопанска банка АД Скопје,STB
70436,2024-11-07,Other price sensitive information,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70433.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/teteks-ad-tetovo,Тетекс АД Тетово,TETE
70847,2025-01-17,Draft decisions for the shareholders meeting,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70842.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/makedonijaturist-ad-skopje,Македонијатурист АД Скопје,TUM
70435,2024-11-07,Non-audited profit&loss account 01.01. - 30.09.,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70432.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/teteks-ad-tetovo,Тетекс АД Тетово,TETE
70846,2025-01-17,Draft decisions for the shareholders meeting,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70841.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/makedonijaturist-ad-skopje,Македонијатурист АД Скопје,TUM
70431,2024-11-06,Other price sensitive information,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70426.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/replek-ad-skopje,Реплек АД Скопје,REP
70845,2025-01-17,Draft decisions for the shareholders meeting,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70840.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/makedonijaturist-ad-skopje,Македонијатурист АД Скопје,TUM
70430,2024-11-06,Draft decisions for the shareholders meeting,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70429.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/teteks-ad-tetovo,Тетекс АД Тетово,TETE
70844,2025-01-17,Draft decisions for the shareholders meeting,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70839.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/makedonijaturist-ad-skopje,Македонијатурист АД Скопје,TUM
70425,2024-11-05,Other decisions of the shareholders meeting,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70424.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/ttk-banka-ad-skopje,ТТК Банка АД Скопје,TTK
70843,2025-01-17,Buy back/Sale of treasury shares,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70838.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/prilepska-pivarnica-ad-prilep,Прилепска пиварница АД Прилеп,PPP
70423,2024-11-05,Changes in the managing bodies,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70422.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/tutunski-kombinat-ad-prilep,Тутунски комбинат АД Прилеп,TUT
69986,2024-10-18,Non-audited profit&loss account 01.01. - 30.09.,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/69966.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/strumicko-pole-s.-vasilevo,Струмичко поле АД с. Василево,SPOL
70420,2024-11-05,Other decisions of the shareholders meeting,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70419.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/tutunski-kombinat-ad-prilep,Тутунски комбинат АД Прилеп,TUT
