Document_ID,Publication_date,Title,Text_Content,Company_Name,Company_Code,Sentiment
70857,2025-01-17,Other price sensitive information,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70854.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/lotarija-na-makedonija-ad-skopje,Лотарија на Македонија АД Скопје,LOTO,Neutral
70856,2025-01-17,Other price sensitive information,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70853.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/hoteli-metropol-ohrid,Хотели-Метропол АД Охрид,MPOL,Neutral
70855,2025-01-17,Other price sensitive information,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70852.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/fersped-ad-skopje,Фершпед АД Скопје,FER,Neutral
70851,2025-01-17,Other price sensitive information,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70848.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/makosped-ad-skopje,Макошпед АД Скопје,MSK,Neutral
70437,2024-11-07,Other price sensitive information,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70434.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/makstil-ad-skopje,Макстил АД Скопје,MSL,Neutral
70850,2025-01-17,Other price sensitive information,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70849.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/stopanska-banka-ad-skopje,Стопанска банка АД Скопје,STB,Neutral
70436,2024-11-07,Other price sensitive information,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70433.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/teteks-ad-tetovo,Тетекс АД Тетово,TETE,Neutral
70847,2025-01-17,Draft decisions for the shareholders meeting,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70842.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/makedonijaturist-ad-skopje,Македонијатурист АД Скопје,TUM,Neutral
70435,2024-11-07,Non-audited profit&loss account 01.01. - 30.09.,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70432.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/teteks-ad-tetovo,Тетекс АД Тетово,TETE,Neutral
70846,2025-01-17,Draft decisions for the shareholders meeting,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70841.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/makedonijaturist-ad-skopje,Македонијатурист АД Скопје,TUM,Neutral
70431,2024-11-06,Other price sensitive information,This is automaticaly generated document. The original document can be found on the following link:https://seinet.com.mk/document/70426.For more details about issuer of this document please visit the following link:https://www.mse.mk/en/issuer/replek-ad-skopje,Реплек АД Скопје,REP,Neutral
